Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,SQL,DOCKER,GO,LINUX,GIT,AWS,KUBERNETES,DJANGO,FLASK,MATH,DATA_SCIENCE_LIB
Quantitative Analyst,https://hh.ru/vacancy/118109610,Insolvent Capital,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Senior Data Analyst,https://hh.ru/vacancy/111417147,Х5 Group,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,1,0,0,0,1
DevOps Engineer/MLOps (Senior),https://hh.ru/vacancy/119162898,Selecty,от 470000 до 525000 RUR,От 3 до 6 лет,Да,1,0,1,0,0,0,0,1,0,0,0,0
Разработчик Python ML-команды,https://hh.ru/vacancy/118624795,Норникель,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,1,0,0,0,0,1,1
Системный аналитик (с кредитным профилем),https://hh.ru/vacancy/118069794,LIAN,до 345000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Специалист технической поддержки / Technical Support Specialist,https://hh.ru/vacancy/118046448,Мэтифан,от 80000 до 180000 RUR,От 1 года до 3 лет,Нет,1,1,0,0,1,0,0,0,0,0,0,0
Системный аналитик,https://hh.ru/vacancy/118821253,Кронослаб,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Инженер NLP,https://hh.ru/vacancy/118442524,LIAN,до 4000 USD,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Strategy AI Consultant,https://hh.ru/vacancy/118867076,Axenix (ранее Accenture),не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Финансовый аналитик,https://hh.ru/vacancy/114564803,Банк ВТБ (ПАО),не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
ML Lead (NLP),https://hh.ru/vacancy/118053179,HR Prime,от 5000 до 10000 EUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Android developer,https://hh.ru/vacancy/118690033,Data-Driven Lab,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Senior MLSecOps Engineer,https://hh.ru/vacancy/114988743,Т-Банк,не указана,Более 6 лет,Нет,0,0,1,0,0,0,0,1,0,0,0,0
Data Scientist / Machine Learning Engineer / Аналитик данных,https://hh.ru/vacancy/112611475,Транснефть-Технологии,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
"Системный аналитик (Middle), банк",https://hh.ru/vacancy/119131360,SkillStaff,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Data engineer (офис в Ереване),https://hh.ru/vacancy/118315001,WIT recruitment,от 5400 до 6600 USD,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Data scientist (Senior),https://hh.ru/vacancy/119021975,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,1
Project Manager,https://hh.ru/vacancy/117652304,Lofty.,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Аналитик данных,https://hh.ru/vacancy/118335913,ТЕВА,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
"Аналитик RnD (AI, Искусственный интеллект)",https://hh.ru/vacancy/118497593,Ингосстрах,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
BI Analyst,https://hh.ru/vacancy/110438689,ANCOR,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,1,0,0,0,0,0
Главный аналитик направления (предиктивный анализ в производстве),https://hh.ru/vacancy/117714452,Промышленные инновации,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Quantitative Developer,https://hh.ru/vacancy/118109579,Insolvent Capital,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,1,0,0,0,0,1
Менеджер по управлению качеством в клинических исследованиях,https://hh.ru/vacancy/118598466,ANCOR,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Software Developer Intern / Junior,https://hh.ru/vacancy/118070545,Aramco Innovations,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Руководитель направления / Ведущий финансовый аналитик (моделирование и юнит-экономика),https://hh.ru/vacancy/118915686,Selecty,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Senior Data Engineer,https://hh.ru/vacancy/117164675,Оператор Газпром ИД,не указана,Более 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Аналитик -данных (Управление качеством клиентского опыта),https://hh.ru/vacancy/115865168,Т1,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Head of Data Science,https://hh.ru/vacancy/118252260,Russ,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Руководитель группы анализа данных,https://hh.ru/vacancy/117746296,Rambler&Co,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist / ML-инженер,https://hh.ru/vacancy/118831649,Медиалогия,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
BI аналитик-разработчик / BI developer,https://hh.ru/vacancy/117842084,АстраЗенека,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
DevOps-инженер,https://hh.ru/vacancy/118243891,LIAN,от 300000 до 400000 RUR,От 3 до 6 лет,Нет,1,1,1,0,1,1,0,0,0,0,0,0
Аналитик данных,https://hh.ru/vacancy/118291083,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
"Аналитик (разработка ИИ-агентов, junior+/middle-)",https://hh.ru/vacancy/117944366,ГБУ г. Москвы НИИ организации здравоохранения и медицинского менеджмента ДЗМ г. Москвы,от 80000 до 110000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Аналитик по развитию бизнес-приложений,https://hh.ru/vacancy/117509465,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
ИТ-лидер кластера / DWH Team Lead,https://hh.ru/vacancy/118786005,Т1,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist (риски),https://hh.ru/vacancy/118509662,Ингосстрах,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,https://hh.ru/vacancy/117232071,Data-Driven Lab,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,1
Архитектор,https://hh.ru/vacancy/118364108,Т1,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,1,0,0,0,0
Data Scientist (Middle),https://hh.ru/vacancy/118811947,Умскул,не указана,От 1 года до 3 лет,Да,1,1,1,0,0,0,0,0,0,0,0,1
Data scientist CV (middle),https://hh.ru/vacancy/115268231,"РУСАЛ, Центр подбора персонала",не указана,От 3 до 6 лет,Нет,0,0,1,0,1,1,0,0,0,0,0,0
Старший юрист,https://hh.ru/vacancy/118349029,Отус,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик DWH / Системный аналитик ХД,https://hh.ru/vacancy/117842013,АстраЗенека,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Data Analyst,https://hh.ru/vacancy/118072871,СБЕР,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Менеджер по информационным технологиям (проекты HR),https://hh.ru/vacancy/118499333,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Data Governance Manager / Менеджер по управлению данными,https://hh.ru/vacancy/107775518,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,1,0,0,0,0,0
Руководитель анализа данных QS,https://hh.ru/vacancy/118188525,"Тануки, японский ресторан",не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Продуктовый / дата аналитик в направление Транспорт,https://hh.ru/vacancy/117590739,X5 Tech,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,0
Data Scientist,https://hh.ru/vacancy/117085700,Топассистент,от 350000 RUR,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Аналитик данных / Data Engineer,https://hh.ru/vacancy/118512349,ГАУ Города Москвы Центр цифровизации образования,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
NLP Engineer (Data Science),https://hh.ru/vacancy/118720383,Cloud.ru,не указана,От 1 года до 3 лет,Нет,0,0,1,0,0,0,0,1,0,0,0,1
Руководитель лаборатории искусственного интеллекта,https://hh.ru/vacancy/118554130,"СИБУР, Группа компаний",не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Data Scientist, Факторы ранжирования",https://hh.ru/vacancy/112852766,Ozon,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
"Аналитик по маркетинговому моделированию (MMM) (взаимодействие с тайзоной PST, UTC-8)",https://hh.ru/vacancy/118057026,HR-Stalker,от 500000 до 650000 RUR,Более 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Менеджер рекламного продукта в Карты,https://hh.ru/vacancy/118338568,Яндекс,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
TL Data Scientist,https://hh.ru/vacancy/117519659,Платформа ОФД,до 450000 RUR,Более 6 лет,Нет,1,1,1,0,0,0,0,1,0,0,0,1
Devops-инженер в команду Data Science,https://hh.ru/vacancy/118296880,"Ренессанс cтрахование, Группа",не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,1,1,0,0,0,0
Head of Marketing (B2B Software Platform for the Internet of Things),https://hh.ru/vacancy/118452690,Tibbo Systems,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Главный аналитик,https://hh.ru/vacancy/112617103,Промышленные инновации,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,https://hh.ru/vacancy/118500855,PARI,не указана,От 3 до 6 лет,Да,1,1,1,0,0,1,0,0,0,0,0,0
Системный аналитик,https://hh.ru/vacancy/117632630,"СИБУР, Группа компаний",не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
"Стажер / Специалист, Retail & Ecom",https://hh.ru/vacancy/118591008,Б1 (B1),не указана,Нет опыта,Нет,1,1,0,0,0,0,0,0,0,0,1,0
Инженер технической поддержки,https://hh.ru/vacancy/118874121,Ростелеком,не указана,Нет опыта,Нет,1,0,1,0,1,0,0,0,0,0,0,0
Postdoctoral Researcher / (Старший-) Научный сотрудник,https://hh.ru/vacancy/117487640,The Skolkovo Institute of Science and Technology,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Ассистент кадрового администрирования,https://hh.ru/vacancy/117490901,IDF Eurasia,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик 1С (бухгалтерия + финансы),https://hh.ru/vacancy/118543512,LIAN,до 320000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Клиентский аналитик,https://hh.ru/vacancy/116339130,T2,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
"Руководитель команды продуктовой аналитики, Мобильная платформа",https://hh.ru/vacancy/118077591,X5 Tech,не указана,Более 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,1,0
Team Lead Data Scientist,https://hh.ru/vacancy/118155257,Rambler&Co,не указана,Более 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
BI-аналитик данных в Спорт Тех,https://hh.ru/vacancy/118329916,ВПА Технологии,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Product manager (направление МФО),https://hh.ru/vacancy/118889321,IDF Eurasia,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер проектов по работе с персональными данными (DPO),https://hh.ru/vacancy/107979736,Росгосстрах,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Архитектор корпоративный (Enterprise architect),https://hh.ru/vacancy/118345183,LIAN,от 300000 до 380000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик (Брокерский бизнес),https://hh.ru/vacancy/118488220,СБЕР,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Аналитик Data Science HR,https://hh.ru/vacancy/117031485,Газпромбанк,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,1,0,0,0,0,0,1
Менеджер по прогнозированию и моделированию рынка,https://hh.ru/vacancy/116096752,ТЕВА,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
MLSecOps engineer,https://hh.ru/vacancy/117255438,ИК СИБИНТЕК,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,1,0,0,0,0
ML Team Lead (Ассистент Салют),https://hh.ru/vacancy/118769234,СБЕР,до 550000 RUR,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Quantitative Researcher,https://hh.ru/vacancy/110805143,"Hi, Rockits!",не указана,От 1 года до 3 лет,Нет,1,0,0,0,1,0,0,0,0,0,0,0
Data Engineer [Middle],https://hh.ru/vacancy/118177933,Диплей,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Data Engineer (Рекомендательная система),https://hh.ru/vacancy/118241696,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,1
Technical help desk specialist,https://hh.ru/vacancy/118822421,AIRECRUITMENT,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
C#/.NET-разработчик (Система Ведения Тарифов),https://hh.ru/vacancy/117233323,"СИБУР, Группа компаний",не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Главный бизнес-аналитик,https://hh.ru/vacancy/118255940,"МАГНИТ, Розничная сеть",не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Руководитель телемаркетинга,https://hh.ru/vacancy/118916182,IDF Eurasia,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Старший продуктовый аналитик,https://hh.ru/vacancy/118136683,Рокет Тех,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Data scientist (Валидатор моделей банковской и торговой книг),https://hh.ru/vacancy/118573424,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Архитектор,https://hh.ru/vacancy/117933193,Северсталь,не указана,От 3 до 6 лет,Да,1,1,1,1,0,0,0,1,0,0,0,0
Quantitative Developer,https://hh.ru/vacancy/118154886,Trading Integral Solutions,от 5000 до 7000 USD,Более 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0
"Старший Data Scientist, Ранжирование",https://hh.ru/vacancy/98275778,Ozon,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0
ML Engineer,https://hh.ru/vacancy/118603571,Excdev,не указана,От 3 до 6 лет,Да,1,1,0,0,0,1,0,0,0,0,1,1
Data Scientist,https://hh.ru/vacancy/118294468,СБЕР,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,1,0,0,0,1,0,1
Главный эксперт управления прогнозирования и мониторинга развития группы,https://hh.ru/vacancy/119080758,Федеральная сетевая компания – Россети,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Senior Product analyst (Fintech),https://hh.ru/vacancy/118283856,WILDBERRIES,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Системный аналитик СКП,https://hh.ru/vacancy/118065509,JSA Group,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,1,0,0,0,0
Ведущий разработчик моделей,https://hh.ru/vacancy/118131662,Московский Кредитный Банк,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
DevOps - инженер в команду разработки,https://hh.ru/vacancy/115914262,КРОК,не указана,От 3 до 6 лет,Да,1,0,0,1,1,0,0,1,0,0,0,0
Бизнес-аналитик (финмоделирование),https://hh.ru/vacancy/117432727,Банк ВТБ (ПАО),не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Consumer Insights Manager / Researcher / Analyst,https://hh.ru/vacancy/118011888,"Группа компаний «Group4Media», Управляющая компания",не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
ML engineer (офис),https://hh.ru/vacancy/107832089,Security Vision,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Senior Data analyst,https://hh.ru/vacancy/118137059,WILDBERRIES,не указана,Более 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Аналитик данных в Малый и Микро Бизнес,https://hh.ru/vacancy/118658805,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Data Scientist (Middle),https://hh.ru/vacancy/118461280,Лаборатория Касперского,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,0,0,0,0,1
Data analyst/data scientist на продукт HR MAX,https://hh.ru/vacancy/115480005,X5 Tech,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,0
Data Science Engineer/ Machine Learning Engineer,https://hh.ru/vacancy/116174806,АстраЗенека,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Архитектор MLOps,https://hh.ru/vacancy/119128614,БАНК УРАЛСИБ,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,0,1,0,0,0,0
Менеджер продукта интернет-эквайринг / Product manager internet acquiring / Банк,https://hh.ru/vacancy/118424641,IDF Eurasia,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Middle+ / Senior ML-инженер,https://hh.ru/vacancy/117722217,Линсофтверпродакшн,от 220000 до 330000 RUR,Более 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,1
Научный сотрудник/программист - математик,https://hh.ru/vacancy/118613467,РЭНЕРА,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Главный аналитик данных,https://hh.ru/vacancy/118132965,"ГРЧЦ, ФГУП",не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
BI-аналитик данных в Спорт Тех,https://hh.ru/vacancy/118329915,ВПА Технологии,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Middle Data Scientist,https://hh.ru/vacancy/116807049,IDF Eurasia,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,1
Системный аналитик (Моделирование РБ),https://hh.ru/vacancy/117769461,Т1,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist / Дата-сайентист,https://hh.ru/vacancy/118309893,Rubbles,от 300000 RUR,От 3 до 6 лет,Да,1,1,1,0,0,0,0,1,0,0,0,0
Data Scientist (Валидация моделей кредитного риска КИБ),https://hh.ru/vacancy/118137807,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Team Lead Data Science,https://hh.ru/vacancy/118194329,"РУСАЛ, Центр подбора персонала",не указана,От 3 до 6 лет,Да,0,0,1,0,1,1,0,0,0,0,0,0
Продуктовый аналитик на Единую платформу персонализации,https://hh.ru/vacancy/118783848,X5 Tech,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,1,0
"Data Scientist (Deep Learning), Рекомендации и персонализация",https://hh.ru/vacancy/116457750,Ozon,не указана,От 3 до 6 лет,Да,1,0,0,1,0,0,0,0,0,0,0,1
"Бизнес-аналитик (S&OP, диспетчеризация)",https://hh.ru/vacancy/118891306,"СИБУР, Группа компаний",не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Middle Data Engineer,https://hh.ru/vacancy/118493373,Remokate,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Engineer,https://hh.ru/vacancy/118991687,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,1
Руководитель направления рисков и рисков контрагентов / Банк,https://hh.ru/vacancy/118727277,IDF Eurasia,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
"Системный архитектор, отдел ИРО",https://hh.ru/vacancy/119086853,ФГБУ ЦСП ФМБА России,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,1,0,0,0
Data Scientist NLP (Центр модельных рисков розничного бизнеса),https://hh.ru/vacancy/118180641,СБЕР,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Ведущий Бизнес-Аналитик/Методолог-консультант внедрения 1С ERP и 1С УХ в холдинге,https://hh.ru/vacancy/119052384,DPG Russia,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist (Recsys),https://hh.ru/vacancy/118457659,Московская Биржа,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,1
Team Lead (Домен ИИ практики по CV/OCR),https://hh.ru/vacancy/118701636,Т1,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,1,0,0,0,0,1
Продуктовый аналитик/аналитик данных в Мобильную платформу,https://hh.ru/vacancy/115479023,X5 Tech,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,1,0
Data Engineer (AmazMe),https://hh.ru/vacancy/118243077,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,1
Data Scientist NLP (портал gosuslugi.ru),https://hh.ru/vacancy/115401050,РТЛабс,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,0,0,0,1
"Специалист DS NLP (RAG, LLM) (блок ""Сеть Продаж"")",https://hh.ru/vacancy/118992619,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,1
Программист Data Science (распознавание речи),https://hh.ru/vacancy/118805041,1С,не указана,Более 6 лет,Нет,1,0,0,0,1,1,0,0,0,0,0,0
Администратор баз данных,https://hh.ru/vacancy/118197152,LIAN,до 340000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
"Medical lead, Oncology launch / Therapeutic area head",https://hh.ru/vacancy/118083675,ANCOR,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Архитектор информационной безопасности (управление данными),https://hh.ru/vacancy/98593754,Ростелеком,не указана,От 3 до 6 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0
Руководитель отдела эксплуатация серверного оборудования,https://hh.ru/vacancy/118568061,WILDBERRIES,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Разработчик 1С (ЗУП, Охрана Труда, Учебный Центр)",https://hh.ru/vacancy/118076351,LIAN,до 350000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Head of Document Management Department,https://hh.ru/vacancy/118303746,Taitan-fzco,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Senior Python developer,https://hh.ru/vacancy/117105423,СберПраво,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,0,1,1,0,0,0
Research Engineer,https://hh.ru/vacancy/118042918,ОптималФлоу Групп,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,1,1
Team Lead (Домен ИИ модельные сервисы),https://hh.ru/vacancy/118705524,Т1,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,1,0,0,0,0,0
ML engineer,https://hh.ru/vacancy/117349363,СберПраво,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Менеджер по привлечению бизнеса,https://hh.ru/vacancy/118121337,IDF Eurasia,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Архитектор MLOps,https://hh.ru/vacancy/118491690,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,1,1,0,0,0,0
Middle/Senior Data Scientist в команду ETA/RTA,https://hh.ru/vacancy/118298668,2ГИС,не указана,От 3 до 6 лет,Да,1,1,1,0,0,1,0,1,0,0,0,1
Менеджер по продажам B2C,https://hh.ru/vacancy/117211227,Skillbox,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Tech Lead Java,https://hh.ru/vacancy/118415727,Альфа-Банк,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,1,0,0,0,0
Дата-сайентист в маркетинг,https://hh.ru/vacancy/118842116,2ГИС,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,0
Data Scientist (Центр модельных рисков сервисных блоков и экосистемы),https://hh.ru/vacancy/118781251,СБЕР,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Архитектор программного обеспечения (Платформа ИИ),https://hh.ru/vacancy/118785122,Кронослаб,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Архитектор КХД,https://hh.ru/vacancy/118522925,Промэкспертиза,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Scientist (Руководитель направления скоринга),https://hh.ru/vacancy/118846249,А ДЕНЬГИ,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Аналитик Senior/ Team lead,https://hh.ru/vacancy/117436925,metaLead,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,1,0,0,1,0,1
Финансовый контролер,https://hh.ru/vacancy/115883882,IDF Eurasia,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Системный администратор,https://hh.ru/vacancy/118572552,Петрович-Тех,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
MLOps инженер,https://hh.ru/vacancy/118117788,Группа компаний Астра,не указана,От 3 до 6 лет,Нет,1,0,1,1,1,1,1,1,0,0,0,0
"Fullstack-разработчик (Python, TS)",https://hh.ru/vacancy/118191437,Рестрим Медиа,не указана,От 1 года до 3 лет,Да,1,1,1,0,0,1,0,0,0,0,0,1
MLSecOps Engineer,https://hh.ru/vacancy/118642249,ФИНАМ,не указана,От 1 года до 3 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0
Продуктовый аналитик,https://hh.ru/vacancy/117472234,БиАйЭй-Технолоджиз,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Data Scientist (NLP),https://hh.ru/vacancy/118084439,Ингосстрах,не указана,От 3 до 6 лет,Да,1,1,1,0,0,0,0,1,0,0,0,0
ML Engineer,https://hh.ru/vacancy/118239080,Hunt For You,не указана,Более 6 лет,Да,1,0,0,0,0,0,1,0,0,0,0,1
Program manager (Департамент данных и рекомендательных систем B2C),https://hh.ru/vacancy/118853484,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
