Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,PYTHON,JAVA,C_SHARP,GO,NODEJS,SPRING,DJANGO,FLASK,SQL,NOSQL
Middle+ backend developer Kotlin,https://hh.ru/vacancy/119174477,JSA Group,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
Менеджер по подбору персонала (IT/Digital Marketing),https://hh.ru/vacancy/118876036,Playerok,от 100000 до 130000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend разработчик (apache superset),https://hh.ru/vacancy/118809231,LIAN,до 250000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
.Net developer,https://hh.ru/vacancy/118967706,ЦИФРА,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Senior Backend Developer,https://hh.ru/vacancy/119153518,МСН Телеком,от 250000 до 350000 RUR,От 3 до 6 лет,Нет,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1
Backend-разработчик (Python),https://hh.ru/vacancy/118770116,Coleman Group,не указана,От 1 года до 3 лет,Да,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1
Java - разработчик,https://hh.ru/vacancy/119089301,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Middle .Net Developer,https://hh.ru/vacancy/118144769,Бланк – банк для бизнеса,не указана,От 1 года до 3 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Middle Backend разработчик,https://hh.ru/vacancy/117623784,Автостэлс-Тех,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Руководитель команды разработки / TeamLead (Full Stack) в детский туроператор,https://hh.ru/vacancy/119132940,Специализированный туроператор для детского и семейного отдыха,до 500000 RUR,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Middle PHP разработчик,https://hh.ru/vacancy/118990940,"МАГНИТ, Розничная сеть",не указана,От 1 года до 3 лет,Да,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Manual QA engineer (Mobile),https://hh.ru/vacancy/117941188,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Back-end разработчик C# / .NET,https://hh.ru/vacancy/118330473,ПОСМ.РЦ.,от 100000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Front-end разработчик React (middle+/ senior),https://hh.ru/vacancy/118618875,Simple,не указана,От 3 до 6 лет,Да,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Frontend Developer для торгового терминала на MacOS,https://hh.ru/vacancy/116858133,Тайгер Трейд,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Product manager (автоматический товарный ассортимент),https://hh.ru/vacancy/118573278,ВкусВилл,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Системный аналитик,https://hh.ru/vacancy/119039484,Spice IT,до 240000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA Automation engineer,https://hh.ru/vacancy/119155058,МТС Финтех,не указана,От 1 года до 3 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Senior backend-developer (.NET/C#),https://hh.ru/vacancy/119127236,Gethins ltd,не указана,Более 6 лет,Да,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Frontend developer (Vue/Nuxt),https://hh.ru/vacancy/119153778,idaproject,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик / Senior backend developer (Node.js),https://hh.ru/vacancy/119028466,Пахотина Ксения Евгеньевна,от 300000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Middle Python backend developer (FastAPI),https://hh.ru/vacancy/117565527,РА Дельта,не указана,От 1 года до 3 лет,Нет,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1
"Backend разработчик (PHP, Laravel - middle, middle+)",https://hh.ru/vacancy/117042367,МЕН ИН ДЕВ,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Python-разработчик,https://hh.ru/vacancy/118006121,ГБУЗ Московский Научно-Практический Центр Лабораторных Исследований Департамента Здравоохранения Города Москвы,не указана,От 1 года до 3 лет,Нет,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
"Стажёр - продуктовый аналитик, Приложение продавца, Ozon tech",https://hh.ru/vacancy/118313626,Ozon,не указана,Нет опыта,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик,https://hh.ru/vacancy/118716982,Экомаркет.Ру,от 130000 до 200000 RUR,От 1 года до 3 лет,Да,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Администратор IT-проектов,https://hh.ru/vacancy/117414786,KTS,от 70000 до 90000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик React (стажер),https://hh.ru/vacancy/118574014,Экосистема Альфа,не указана,Нет опыта,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бэкенд PHP -разработчик (удалённо),https://hh.ru/vacancy/118240298,Эд-АйТи,от 150000 до 220000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IT-рекрутер,https://hh.ru/vacancy/119042480,TDM ELECTRIC,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик,https://hh.ru/vacancy/118519928,Softline,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Backend - разработчик (Java),https://hh.ru/vacancy/117135883,Инжиниринговый холдинг «эВ-групп»,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Python Developer (Middle) – Backend/API,https://hh.ru/vacancy/118660919,HEADLINER,до 120000 RUR,От 3 до 6 лет,Да,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1
Middle+/Senior Oracle developer,https://hh.ru/vacancy/119068647,Сибител,не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Senior/Middle Next.js разработчик,https://hh.ru/vacancy/118509498,Демельханов Ильман Тагирович,до 200000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Go developer (middle),https://hh.ru/vacancy/113155031,AppMagic,от 1500 до 3000 USD,От 1 года до 3 лет,Да,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
AI Engineer,https://hh.ru/vacancy/118874211,Overgear,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
.NET Developer,https://hh.ru/vacancy/119011565,PravoTech,до 265000 RUR,От 3 до 6 лет,Да,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
PHP-разработчик,https://hh.ru/vacancy/118915966,iBrush,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Middle Fullstack Developer/Мидл фуллстэк разработчик,https://hh.ru/vacancy/118913581,Клиент Онлайн,от 180000 до 270000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик ASP.NET,https://hh.ru/vacancy/118915706,"585, Холдинг",не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Middle/Senior PHP разработчик,https://hh.ru/vacancy/119088700,Рубинштейн Виолетта Владимировна,до 2500 USD,Более 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Инженер по тестированию ПО,https://hh.ru/vacancy/117246175,Сервисный центр Транстелематика,не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Frontend Team Lead,https://hh.ru/vacancy/118782311,На_Полке,не указана,Более 6 лет,Да,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"Fullstack (Node.js, React) Game Developer",https://hh.ru/vacancy/119140293,Румеев Илья Владимирович,от 300000 RUR,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Java-разработчик,https://hh.ru/vacancy/118177715,getmatch,до 450000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Руководитель отдела продаж,https://hh.ru/vacancy/118777641,ГЛОБУС,от 200000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior python-разработчик (Django),https://hh.ru/vacancy/118701707,zGroup-IT,от 2000 до 3000 USD,От 3 до 6 лет,Да,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Системный аналитик,https://hh.ru/vacancy/117325236,IT2G,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IT Project manager в продуктовую команду,https://hh.ru/vacancy/118566716,TastyTeam,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Разработчик C++,https://hh.ru/vacancy/119068058,ФОРКТЕК,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Senior QA Fullstack engineer (Back-end),https://hh.ru/vacancy/119084688,Звук,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Системный аналитик,https://hh.ru/vacancy/119110398,Finstar Financial Group,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Senior QA Engineer (Москва),https://hh.ru/vacancy/117650974,Tennisi,не указана,От 3 до 6 лет,Нет,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Системный аналитик (Senior),https://hh.ru/vacancy/118988946,Гаскар Интеграция,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Senior/Middle Java developer,https://hh.ru/vacancy/119116046,WILDBERRIES,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Backend разработчик на PHP,https://hh.ru/vacancy/118713738,ДТЛ,от 200000 RUR,От 3 до 6 лет,Да,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
SEO специалист (ГПХ),https://hh.ru/vacancy/119140118,Level Group,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик (Python),https://hh.ru/vacancy/118874213,Панин Павел Сергеевич,от 300000 до 350000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Middle Frontend-разработчик (Vue),https://hh.ru/vacancy/118440184,X5 Digital,не указана,От 3 до 6 лет,Да,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
Python-разработчик,https://hh.ru/vacancy/118766123,Связь.ON,до 250000 RUR,От 3 до 6 лет,Нет,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
Разработчик бота,https://hh.ru/vacancy/118816562,ПР Солюшн,от 230000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Frontend Developer (Middle) в команду аналитики,https://hh.ru/vacancy/118760220,WILDBERRIES,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java developer,https://hh.ru/vacancy/118957445,X5 Tech,не указана,От 3 до 6 лет,Да,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1
CV / ML / DL инженер (джун),https://hh.ru/vacancy/118363018,NVI Solutions LLC,от 100000 до 150000 RUR,От 1 года до 3 лет,Нет,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
Инженер-программист,https://hh.ru/vacancy/118991954,ЭКОН Технологии,от 130000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend разработчик (Vue) Junior,https://hh.ru/vacancy/118914930,SA MEDIA GROUP,не указана,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Бизнес-аналитик,https://hh.ru/vacancy/118854551,.Redev,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Backend Developer,https://hh.ru/vacancy/118785479,ФИШМАН,не указана,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Fullstack-разработчик,https://hh.ru/vacancy/118765684,UP business,от 180000 до 200000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ведущий разработчик,https://hh.ru/vacancy/110801810,Ростелеком - Центры обработки данных,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Бэк-енд разработчик/Python developer,https://hh.ru/vacancy/117698428,"АТОЛ, группа компаний",не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Senior PHP Developer,https://hh.ru/vacancy/118833986,Бринго,от 4500 до 5500 EUR,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Разработчик .Net,https://hh.ru/vacancy/119089083,Bell Integrator,не указана,От 3 до 6 лет,Да,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Backend-разработчик,https://hh.ru/vacancy/118558441,Дали Детали,от 1500 до 2500 USD,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик (React) middle ЦСС,https://hh.ru/vacancy/116783761,Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области,не указана,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Head of AI (AI-ассистент),https://hh.ru/vacancy/119042774,Группа Компаний Рикор,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java-разработчик,https://hh.ru/vacancy/117776558,Bell Integrator Регионы,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Системный аналитик (финтех),https://hh.ru/vacancy/118683746,Ньютон Технологии,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Backend-разработчик (.NET/команда Эврика),https://hh.ru/vacancy/118981856,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Frontend developer Vue.js,https://hh.ru/vacancy/118686771,КГК,от 200000 до 250000 RUR,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Веб-разработчик Python/Web Developer Python,https://hh.ru/vacancy/98214353,Доктор Веб,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
C#/.NET бекенд разработчик,https://hh.ru/vacancy/118146583,ATAS Ltd,от 200000 до 300000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Менеджер проектов в Яндекс Go для бизнеса,https://hh.ru/vacancy/119138735,Яндекс,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Senior React Developer/ Ведущий разработчик (React),https://hh.ru/vacancy/117959508,СИНАПС ТЕХНОЛОДЖИ,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Главный разработчик PHP,https://hh.ru/vacancy/118617633,Айсорс,от 250000 до 345000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Инженер-тестировщик РЭА,https://hh.ru/vacancy/118875625,Кадровый центр Алекс персонал,от 80000 до 120000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик ИТ-систем платёжного контура,https://hh.ru/vacancy/115186065,Digital Spirit,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Менеджер по продукту (карточка товара),https://hh.ru/vacancy/118914086,Ozon,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер продукта,https://hh.ru/vacancy/118342354,Tennisi,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,https://hh.ru/vacancy/118993214,Ваш KPI,не указана,От 3 до 6 лет,Да,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Разработчик .NET Middle ФИНТЕХ с возможностью работать вне РФ,https://hh.ru/vacancy/118235099,WMT,не указана,От 3 до 6 лет,Да,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Java-разработчик backend Senior /TechLead,https://hh.ru/vacancy/119065499,KPBS,от 250000 до 400000 RUR,От 3 до 6 лет,Нет,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1
Системный аналитик (MTS AI),https://hh.ru/vacancy/119006323,МТС,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
QA Engineer Manual в команду Автоматизации и Роботизации,https://hh.ru/vacancy/118774785,WILDBERRIES,не указана,От 1 года до 3 лет,Нет,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Middle React Native Developer ( Moscow ),https://hh.ru/vacancy/118733163,Kodix,от 180000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Node.js developer,https://hh.ru/vacancy/118810217,TIQUM,не указана,От 3 до 6 лет,Да,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Технический директор (CTO) в IT-компанию,https://hh.ru/vacancy/119011876,Апартмент системс,от 400000 RUR,Более 6 лет,Да,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
React Native Developer,https://hh.ru/vacancy/116803078,TokenSpot,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик,https://hh.ru/vacancy/118200304,Еком,до 1000 USD,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
Senior Python разработчик в KION,https://hh.ru/vacancy/119013615,МТС,не указана,От 3 до 6 лет,Да,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Python Developer,https://hh.ru/vacancy/118907470,RUTUBE,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
.NET разработчик senior,https://hh.ru/vacancy/119121408,Digital Zone,от 260000 RUR,Более 6 лет,Да,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Разработчик Node.js (middle),https://hh.ru/vacancy/118860592,Polonium Arts,не указана,От 3 до 6 лет,Да,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Python Developer,https://hh.ru/vacancy/118893075,Aviasales.ru,не указана,Более 6 лет,Да,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1
Java-разработчик Middle (fullstack),https://hh.ru/vacancy/118875422,МАТРИ,не указана,От 3 до 6 лет,Нет,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1
Python-разработчик,https://hh.ru/vacancy/117627733,getmatch,до 450000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Backend разработчик (PHP),https://hh.ru/vacancy/118668039,Айтиспортс,от 110000 RUR,Нет опыта,Нет,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Python-разработчик,https://hh.ru/vacancy/118348691,Postgres Professional,не указана,От 3 до 6 лет,Да,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Senior PHP Developer,https://hh.ru/vacancy/119171591,BORK,не указана,От 3 до 6 лет,Да,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Тимлид команды тестирования (QA Team Lead),https://hh.ru/vacancy/117400850,PERX,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Frontend-разработчик (Angular),https://hh.ru/vacancy/119071823,Media Instinct Group,не указана,От 1 года до 3 лет,Нет,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"Аналитик (IT, Здоровье, Продуктовая разработка)",https://hh.ru/vacancy/119167253,МДСА,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Golang Developer/Разработчик (Go),https://hh.ru/vacancy/112700768,ЛАЙФСТРИМ,не указана,От 3 до 6 лет,Да,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Backend разработчик Python+Django,https://hh.ru/vacancy/118258700,NOVA,от 110000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
Java-разработчик,https://hh.ru/vacancy/118522019,Мор Дэйта,от 180000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
Инженер тестирования (QA),https://hh.ru/vacancy/118655473,МТС Финтех,не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Backend-разработчик (Python),https://hh.ru/vacancy/118867960,Сычков Даниил Олегович,не указана,От 3 до 6 лет,Да,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1
Junior python developer (Backend/Full Stack),https://hh.ru/vacancy/117573920,СберПраво,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Middle+ / Senior Java разработчик,https://hh.ru/vacancy/107972495,X5 Tech,не указана,От 3 до 6 лет,Да,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1
Senior Python-разработчик,https://hh.ru/vacancy/119089507,Digital Spirit,не указана,От 3 до 6 лет,Да,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
PHP Backend Developer (Yii2),https://hh.ru/vacancy/118084911,Дабл Ап,до 180000 RUR,От 1 года до 3 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Android-разработчик,https://hh.ru/vacancy/118954813,Кадровое агентство Юнити,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Системный аналитик,https://hh.ru/vacancy/119153361,ФБУЗ ИМЦ Роспотребнадзора,не указана,От 1 года до 3 лет,Да,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Backend-разработчик,https://hh.ru/vacancy/117841900,Форк ИТ,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Руководитель группы разработки (Team lead IT),https://hh.ru/vacancy/118753815,Lamoda Tech,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Backend-разработчик,https://hh.ru/vacancy/118295454,АПХ ЭКО-культура,не указана,От 1 года до 3 лет,Да,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
"Backend разработчик (Java, middle, гибрид)",https://hh.ru/vacancy/118723578,Ком3,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
System Analyst,https://hh.ru/vacancy/119178550,Repay,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Разработчик Node.js .NET (BackEnd) Middle +,https://hh.ru/vacancy/119088867,Сеть зоомаркетов Немо,от 200000 до 300000 RUR,От 3 до 6 лет,Да,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
Backend C# ASP.NET developer (Middle+/Senior),https://hh.ru/vacancy/112165486,Signal,от 250000 RUR,От 3 до 6 лет,Да,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Senior Frontend-разработчик (Team Lead),https://hh.ru/vacancy/117148892,MarPla,от 250000 до 350000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Разработчик Node.js, back end",https://hh.ru/vacancy/118448989,Ковальская Наталия Сергеевна,от 1500 до 4000 USD,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Head of Content,https://hh.ru/vacancy/118800447,Restaurant Guru,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель проектов разработки ПО,https://hh.ru/vacancy/118734663,Медиалогия,не указана,От 3 до 6 лет,Да,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1
ML-инженер,https://hh.ru/vacancy/117802900,Rambler&Co,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Senior Backend Python программист,https://hh.ru/vacancy/118612841,TopTechHiring,от 320000 до 400000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Тестировщик (QA Engineer) в Службу трансформации,https://hh.ru/vacancy/117361610,ГУП Мосгортранс,от 115000 до 115000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Системный аналитик,https://hh.ru/vacancy/117746337,Сбер Бизнес Софт,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Бэкенд-разработчик,https://hh.ru/vacancy/117702618,Правительство Москвы,не указана,От 1 года до 3 лет,Нет,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Junior/Junior+php программист (стажёр),https://hh.ru/vacancy/118264770,Ельмикеев Евгений Иванович,от 35000 RUR,Нет опыта,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Lead / Senior PHP-developer,https://hh.ru/vacancy/118990824,Торговый Дом НЕФТЬМАГИСТРАЛЬ,от 350000 RUR,Более 6 лет,Нет,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
C/C++ Developer,https://hh.ru/vacancy/119078857,Т1,не указана,От 1 года до 3 лет,Да,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senior Backend developer (PHP),https://hh.ru/vacancy/118049298,Cuva,не указана,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Стажер (ученик) на курс backend-разработки (PHP),https://hh.ru/vacancy/103644845,QSOFT,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Разработчик Python, Инструменты обучения",https://hh.ru/vacancy/117946202,Ozon,не указана,От 1 года до 3 лет,Да,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Frontend-разработчик Vue3/Nuxt3,https://hh.ru/vacancy/118241378,SVK.Digital,от 150000 до 200000 RUR,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Python разработчик,https://hh.ru/vacancy/116347834,НТЦ Вулкан,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1
QA Engineer (Розница),https://hh.ru/vacancy/112433275,Т1,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Python Web-разработчик,https://hh.ru/vacancy/118468340,Селфсек,от 150000 до 200000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Ведущий разработчик .NET/C# (Middle+/Senior),https://hh.ru/vacancy/118073462,Альфа-Банк,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Разработчик Node.js (backend),https://hh.ru/vacancy/118424244,Абсолют-Трейд,до 160000 RUR,От 1 года до 3 лет,Нет,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
